date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:02	45768/45768	---M-Z	200	added ('OK')	application/octet-stream	etag:%2263d840f5-b2c8%22	http://cdn2.editmysite.com/fonts/Lora/bolditalic.ttf	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/bolditalic.ttf	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:08:02	268/268	---M--	200	added ('OK')	image/png	etag:%220b02c195a7169afefbb29c1994827f97%22	https://technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_1.png	C:/My%20Web%20Sites/techno/technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_1.png	(from https://technotronic123.weebly.com/services.html)
10:08:02	268/268	---M--	200	added ('OK')	image/png	etag:%220b02c195a7169afefbb29c1994827f97%22	https://technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_2.png	C:/My%20Web%20Sites/techno/technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_2.png	(from https://technotronic123.weebly.com/services.html)
10:08:02	268/268	---M--	200	added ('OK')	image/png	etag:%220b02c195a7169afefbb29c1994827f97%22	https://technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_3.png	C:/My%20Web%20Sites/techno/technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_3.png	(from https://technotronic123.weebly.com/services.html)
10:08:02	268/268	---M--	200	added ('OK')	image/png	etag:%220b02c195a7169afefbb29c1994827f97%22	https://technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_4.png	C:/My%20Web%20Sites/techno/technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_4.png	(from https://technotronic123.weebly.com/services.html)
10:08:03	210934/210934	---M-Z	200	added ('OK')	text/css	etag:W/%2263e3f6b4-337f6%22	http://cdn2.editmysite.com/css/sites.css?buildTime=1675886187	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/css/sites24f4.css	(from https://technotronic123.weebly.com/services.html)
10:08:07	180948/180948	---M-Z	200	added ('OK')	application/javascript	etag:%2263e3f666-2c2d4%22	http://cdn2.editmysite.com/js/lang/en/stl.js?buildTime=1675886187&	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/js/lang/en/stl72c9.js	(from https://technotronic123.weebly.com/services.html)
10:08:14	268/268	---M--	200	added ('OK')	image/png	etag:%220b02c195a7169afefbb29c1994827f97%22	https://technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_8.png	C:/My%20Web%20Sites/techno/technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_8.png	(from https://technotronic123.weebly.com/about.html)
10:08:17	477188/477188	---M-Z	200	added ('OK')	application/javascript	etag:%2263e3f6d5-74804%22	http://cdn2.editmysite.com/js/site/main.js?buildTime=1675886187	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/js/site/main24f4.js	(from https://technotronic123.weebly.com/services.html)
10:08:17	30483/30483	---M--	200	added ('OK')	image/jpeg	etag:%22cbbe950bce2496be5a66bdfbf12fb40e%22	https://technotronic123.weebly.com/uploads/1/4/4/7/144708907/ali_orig.jpg	C:/My%20Web%20Sites/techno/technotronic123.weebly.com/uploads/1/4/4/7/144708907/ali_orig.jpg	(from https://technotronic123.weebly.com/contact.html)
10:08:18	533956/533956	---M-Z	200	added ('OK')	application/javascript	etag:%2263e3f6d5-825c4%22	http://cdn2.editmysite.com/js/site/main-customer-accounts-site.js?buildTime=1675886187	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/js/site/main-customer-accounts-site24f4.js	(from https://technotronic123.weebly.com/services.html)
10:08:18	268/268	---M--	200	added ('OK')	image/png	etag:%220b02c195a7169afefbb29c1994827f97%22	https://technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_9.png	C:/My%20Web%20Sites/techno/technotronic123.weebly.com/uploads/1/4/4/7/144708907/line_9.png	(from https://technotronic123.weebly.com/contact.html)
10:08:18	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Feb%202023%2010:08:27%20GMT	http://cdn2.editmysite.com/robots.txt		(from http://cdn2.editmysite.com/fonts/Josefin_Sans/font.css?2)
